Country,Country_name,Date,Value,Variable
AUT,Austria,2006-01-01,0.300902708124372,Core
AUT,Austria,2006-02-01,0.200200200200161,Core
AUT,Austria,2006-03-01,0.399201596806395,Core
AUT,Austria,2006-04-01,1.20240480961925,Core
AUT,Austria,2006-05-01,1.00000000000001,Core
AUT,Austria,2006-06-01,0.897308075772692,Core
AUT,Austria,2006-07-01,0.89910089910091,Core
AUT,Austria,2006-08-01,0.89910089910091,Core
AUT,Austria,2006-09-01,1.10110110110107,Core
AUT,Austria,2006-10-01,1.29999999999999,Core
AUT,Austria,2006-11-01,1.40140140140136,Core
AUT,Austria,2006-12-01,1.3986013986014,Core
AUT,Austria,2007-01-01,1.20000000000001,Core
AUT,Austria,2007-02-01,1.5984015984016,Core
AUT,Austria,2007-03-01,1.59045725646123,Core
AUT,Austria,2007-04-01,1.48514851485148,Core
AUT,Austria,2007-05-01,1.68316831683168,Core
AUT,Austria,2007-06-01,1.6798418972332,Core
AUT,Austria,2007-07-01,1.58415841584159,Core
AUT,Austria,2007-08-01,1.58415841584159,Core
AUT,Austria,2007-09-01,1.68316831683168,Core
AUT,Austria,2007-10-01,1.67818361303061,Core
AUT,Austria,2007-11-01,1.67818361303061,Core
AUT,Austria,2007-12-01,1.9704433497537,Core
AUT,Austria,2008-01-01,1.6798418972332,Core
AUT,Austria,2008-02-01,1.47492625368732,Core
AUT,Austria,2008-03-01,1.6634050880626,Core
AUT,Austria,2008-04-01,1.65853658536586,Core
AUT,Austria,2008-05-01,1.85004868549174,Core
AUT,Austria,2008-06-01,1.74927113702623,Core
AUT,Austria,2008-07-01,1.94931773879143,Core
AUT,Austria,2008-08-01,2.04678362573098,Core
AUT,Austria,2008-09-01,2.43427458617332,Core
AUT,Austria,2008-10-01,2.42718446601942,Core
AUT,Austria,2008-11-01,2.23300970873787,Core
AUT,Austria,2008-12-01,2.1256038647343,Core
AUT,Austria,2009-01-01,2.1379980563654,Core
AUT,Austria,2009-02-01,2.3255813953488498,Core
AUT,Austria,2009-03-01,2.21366698748798,Core
AUT,Austria,2009-04-01,2.11132437619962,Core
AUT,Austria,2009-05-01,2.00764818355638,Core
AUT,Austria,2009-06-01,1.62368672397327,Core
AUT,Austria,2009-07-01,1.434034416826,Core
AUT,Austria,2009-08-01,1.81470869149954,Core
AUT,Austria,2009-09-01,1.52091254752853,Core
